"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","ligueone_goalmins","n","ligueone_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","F1",2024-04-14,"Le Havre","Nantes",0,1,"A",0,0,"D",2.63,2.99,3.14,"0-0","0-1",10,1,12,4,3,2,0,0,6,7,14,12,1,13,26,"6-7","N","N","N",5,0,"Le Havre-Nantes","Hakim Ben El Hadj Salem",90,1,12,50,600,50,650,600,13,12,156,1170,650,1.4,0.8,1,0,0,0,2,2,0,0,10,0,10,20,20,40,400,190,0,160,0,190,160,350,16,66,16,0,79
"2","F1",2024-04-20,"Nantes","Rennes",0,3,"A",0,0,"D",3.11,3.3,2.45,"0-0","0-3",6,4,14,5,1,4,0,0,3,7,16,11,3,10,27,"3-7","Y","Y","N",5,0,"Nantes-Rennes","Willy Delajod",232,3,34,50,400,150,500,1700,30,102,340,2320,1500,0.2,2.4,0,2,0,0,1,2,0,0,0,20,20,10,20,30,600,84,0,200,0,84,200,284,84,40,40,1,110
"3","F1",2024-04-26,"Montpellier","Nantes",1,1,"D",1,1,"D",2.04,3.6,3.85,"1-1","1-1",8,1,15,5,2,1,2,0,3,6,11,14,2,9,25,"3-6","Y","N","N",3,2,"Montpellier-Nantes","Jeremy Stinat",9,2,47,80,700,160,720,3760,18,94,423,81,1440,0.8,1.3,2,1,0,0,0,0,2,0,20,10,30,50,0,50,1500,69,372,50,0,441,50,491,24,50,24,0,102
"4","F1",2024-05-04,"Brest","Nantes",0,0,"D",0,0,"D",1.74,3.72,5.16,"0-0","0-0",9,2,9,1,3,2,0,0,6,0,6,14,0,6,20,"6-0","N","N","N",5,0,"Brest-Nantes","Clément Turpin",0,0,0,50,600,0,300,0,0,0,0,0,0,0.5,1.6,1,0,0,0,2,2,0,0,10,0,10,20,20,40,400,167,0,143,0,167,143,310,21,54,21,0,43
"5","F1",2024-05-12,"Nantes","Lille",1,2,"A",0,2,"A",4.03,3.53,1.99,"0-2","1-2",9,5,12,3,4,2,0,0,5,4,17,7,3,9,24,"5-4","Y","Y","N",6,0,"Nantes-Lille","Eric Wattellier",73,3,57,60,800,180,540,3420,27,171,513,657,1620,0.7,1.5,2,1,0,0,2,1,0,0,20,10,30,20,10,30,900,211,0,125,0,211,125,336,33,44,33,0,102
"6","F1",2024-05-19,"Monaco","Nantes",4,0,"H",3,0,"H",1.41,5.33,6.67,"3-0","4-0",10,6,6,3,1,2,0,0,2,2,14,23,4,4,37,"2-2","Y","Y","Y",3,0,"Monaco-Nantes","Romain Lissorgue",101,4,26,30,200,120,120,780,16,104,104,404,480,1.5,1,1,2,0,0,0,0,0,0,10,20,30,0,0,0,0,21,0,77,0,21,77,98,21,36,21,1,97
"7","F1",2024-04-14,"Le Havre","Nantes",0,1,"A",0,0,"D",2.63,2.99,3.14,"0-0","0-1",10,1,12,4,3,2,0,0,6,7,14,12,1,13,26,"6-7","N","N","N",5,0,"Le Havre-Nantes","Hakim Ben El Hadj Salem",90,1,12,50,600,50,650,600,13,12,156,1170,650,1.4,0.8,1,0,0,0,2,2,0,0,10,0,10,20,20,40,400,190,0,160,0,190,160,350,16,66,16,0,79
"8","F1",2024-04-21,"Le Havre","Metz",0,1,"A",0,0,"D",2.24,3.18,3.67,"0-0","0-1",16,4,9,2,2,3,0,0,4,2,9,19,1,6,28,"4-2","N","N","N",5,0,"Le Havre-Metz","Marc Bollengier",46,1,10,50,600,50,300,500,6,10,60,276,300,0.7,1.3,1,1,0,0,1,2,0,0,10,10,20,10,20,30,600,93,0,178,0,93,178,271,21,16,16,0,58
"9","F1",2024-04-27,"Paris SG","Le Havre",3,3,"D",1,2,"A",1.34,5.5,9.32,"1-2","3-3",17,4,6,4,2,1,0,0,11,2,10,8,6,13,18,"11-2","Y","Y","Y",3,0,"Paris SG-Le Havre","Willy Delajod",315,6,189,30,200,180,390,5670,78,1134,2457,4095,2340,2.6,1,0,0,0,0,2,1,0,0,0,0,0,20,10,30,0,167,0,97,0,167,97,264,74,97,74,1,154
"10","F1",2024-05-04,"Le Havre","Strasbourg",3,1,"H",1,0,"H",2.44,3.28,3.15,"1-0","3-1",15,7,5,3,3,1,0,0,3,2,6,13,4,5,19,"3-2","Y","Y","Y",4,0,"Le Havre-Strasbourg","Jérôme Brisard",265,4,46,40,300,160,200,1840,20,184,230,1325,800,1.8,1,1,0,0,0,2,1,0,0,10,0,10,20,10,30,300,183,0,75,0,183,75,258,41,75,41,0,95
"11","F1",2024-05-10,"Nice","Le Havre",1,0,"H",1,0,"H",1.57,4.22,6.3,"1-0","1-0",13,6,12,3,2,0,0,0,6,1,10,9,1,7,19,"6-1","N","N","N",2,0,"Nice-Le Havre","Benoît Bastien",12,1,7,20,0,20,140,140,7,7,49,84,140,1.8,0.5,1,0,0,0,1,0,0,0,10,0,10,10,0,10,100,81,0,0,0,81,0,81,16,0,0,0,46
"12","F1",2024-05-19,"Le Havre","Marseille",1,2,"A",0,0,"D",4.43,3.77,1.82,"0-0","1-2",13,6,22,7,1,0,0,0,5,3,11,11,3,8,22,"5-3","Y","Y","N",1,0,"Le Havre-Marseille","Jeremy Stinat",231,3,81,10,0,30,80,810,24,243,648,1848,240,1.8,1.5,0,0,0,0,1,0,0,0,0,0,0,10,0,10,0,82,0,0,0,82,0,82,82,0,0,1,84
"13","F1",2024-05-19,"Le Havre","Marseille",1,2,"A",0,0,"D",4.43,3.77,1.82,"0-0","1-2",13,6,22,7,1,0,0,0,5,3,11,11,3,8,22,"5-3","Y","Y","N",1,0,"Le Havre-Marseille","Jeremy Stinat",122,2.41666666666667,43.4166666666667,43.3333333333333,416.666666666667,95.8333333333333,382.5,1651.66666666667,21,172.75,428,1119.16666666667,846.666666666667,1.26666666666667,1.225,0.916666666666667,0.583333333333333,0,0,1.33333333333333,1.08333333333333,0.166666666666667,0,9.16666666666667,5.83333333333333,15,17.5,10.8333333333333,28.3333333333333,433.333333333333,128.166666666667,31,105.416666666667,0,159.166666666667,105.416666666667,264.583333333333,37.4166666666667,45.3333333333333,25.1666666666667,0.333333333333333,87.4166666666667
